"FTYPE","long","lat"
"OSM_shopping",144.96638,-37.81126
"OSM_shopping",145.35512,-37.9087
"OSM_shopping",144.96522,-37.81311
"OSM_shopping",144.96385,-37.81639
"OSM_shopping",145.14395,-37.89099
"OSM_shopping",145.14441,-37.89062
"OSM_shopping",144.9637,-37.81614
"OSM_shopping",144.96101,-37.81504
"OSM_shopping",144.96229,-37.81429
"OSM_shopping",144.96288,-37.81414
"OSM_shopping",145.18955,-37.91106
"OSM_shopping",145.28599,-37.86193
"OSM_shopping",144.95982,-37.81253
"OSM_shopping",144.94245,-37.83826
"OSM_shopping",145.26604,-37.84116
"OSM_shopping",145.26629,-37.84106
"OSM_shopping",144.96868,-37.81279
"OSM_shopping",144.95863,-37.81711
"OSM_shopping",145.18285,-37.85565
"OSM_shopping",145.2403,-37.86046
"OSM_shopping",145.24051,-37.86003
"OSM_shopping",144.97722,-37.79593
"OSM_shopping",144.40809,-38.02327
"OSM_shopping",144.40772,-38.02253
"OSM_shopping",144.32404,-38.1723
"OSM_shopping",144.95729,-37.81426
"OSM_shopping",144.9559,-37.81611
"OSM_shopping",144.95654,-37.81259
"OSM_shopping",144.32393,-38.17252
"OSM_shopping",144.32413,-38.17198
"OSM_shopping",145.44126,-37.93185
"OSM_shopping",144.95881,-37.81647
"OSM_shopping",144.95603,-37.81754
"OSM_shopping",145.04388,-37.82971
"OSM_shopping",145.04283,-37.83009
"OSM_shopping",145.03398,-37.82913
"OSM_shopping",145.85816,-38.13689
"OSM_shopping",145.1655,-38.15366
"OSM_shopping",145.16433,-38.15319
"OSM_shopping",145.1261,-38.10328
"OSM_shopping",144.74054,-38.33888
"OSM_shopping",145.37371,-37.65979
"OSM_shopping",145.37458,-37.65904
"OSM_shopping",145.12501,-37.78596
"OSM_shopping",144.96642,-37.81571
"OSM_shopping",144.97139,-37.81334
"OSM_shopping",144.96993,-37.8128
"OSM_shopping",145.35371,-37.90987
"OSM_shopping",145.16959,-37.79201
"OSM_shopping",145.17012,-37.79039
"OSM_shopping",145.14847,-37.87358
"OSM_shopping",144.9644,-37.75486
"OSM_shopping",145.00156,-37.81081
"OSM_shopping",144.86328,-37.79997
"OSM_shopping",145.38183,-38.21429
"OSM_shopping",145.00066,-37.88383
"OSM_shopping",145.01005,-37.86347
"OSM_shopping",145.51767,-37.65352
"OSM_shopping",145.03116,-37.73953
"OSM_shopping",145.27758,-37.88339
"OSM_shopping",144.97029,-37.8142
"OSM_shopping",144.97136,-37.81431
"OSM_shopping",144.97303,-37.81399
"OSM_shopping",145.08477,-37.88564
"OSM_shopping",145.47662,-38.5497
"OSM_shopping",144.3237,-38.33219
"OSM_shopping",144.32427,-38.33226
"OSM_shopping",144.72926,-37.5794
"OSM_shopping",145.21801,-37.98674
"OSM_shopping",145.00108,-37.76895
"OSM_shopping",144.8473,-37.77967
"OSM_shopping",145.57012,-38.08099
"OSM_shopping",144.99739,-37.8295
"OSM_shopping",145.01368,-37.68012
"OSM_shopping",145.03205,-37.84002
"OSM_shopping",144.32328,-37.38921
"OSM_shopping",145.04275,-37.87581
"OSM_shopping",144.96399,-37.81424
"OSM_shopping",145.16546,-37.83507
"OSM_shopping",144.74101,-38.33874
"OSM_shopping",145.00896,-37.84125
"OSM_shopping",145.00928,-37.8413
"OSM_shopping",144.3429,-38.17469
"OSM_shopping",144.34264,-38.17493
"OSM_shopping",145.00055,-37.76929
"OSM_shopping",144.56299,-37.68663
"OSM_shopping",144.92181,-37.76692
"OSM_shopping",144.92212,-37.76695
"OSM_shopping",144.94499,-37.75877
"OSM_shopping",145.28851,-38.05157
"OSM_shopping",145.06124,-37.93577
"OSM_shopping",145.03524,-37.9182
"OSM_shopping",145.038,-37.91823
"OSM_shopping",145.03933,-37.91841
"OSM_shopping",145.09195,-37.87489
"OSM_shopping",145.28552,-37.86134
"OSM_shopping",144.99341,-37.85036
"OSM_shopping",145.33043,-37.90335
"OSM_shopping",145.765,-38.34291
"OSM_shopping",145.66978,-38.33409
"OSM_shopping",144.74027,-38.33893
"OSM_shopping",144.96533,-38.3327
"OSM_shopping",145.0059,-37.8851
"OSM_shopping",145.01001,-37.84111
"OSM_shopping",144.97972,-37.86874
"OSM_shopping",144.9796,-37.8682
"OSM_shopping",145.26585,-37.84126
"OSM_shopping",145.03868,-38.21998
"OSM_shopping",145.03884,-38.21958
"OSM_shopping",145.0387,-38.21944
"OSM_shopping",145.03838,-38.21959
"OSM_shopping",145.55108,-37.95246
"OSM_shopping",144.88821,-37.77172
"OSM_shopping",144.88818,-37.71424
"OSM_shopping",145.1339,-37.98374
"OSM_shopping",145.26497,-38.03206
"OSM_shopping",145.16484,-37.87679
"OSM_shopping",145.03531,-37.93461
"OSM_shopping",145.0375,-37.91815
"OSM_shopping",145.00433,-37.88457
"OSM_shopping",145.00566,-37.88473
"OSM_shopping",145.0051,-37.88494
"OSM_shopping",144.14234,-37.34242
"OSM_shopping",144.14247,-37.3417
"OSM_shopping",144.94606,-37.75342
"OSM_shopping",144.83056,-37.86859
"OSM_shopping",145.0416,-37.76968
"OSM_shopping",145.21904,-37.98674
"OSM_shopping",145.27323,-37.88382
"OSM_shopping",145.17236,-37.99186
"OSM_shopping",144.22644,-37.60037
"OSM_shopping",144.22677,-37.60034
"OSM_shopping",145.14384,-38.0678
"OSM_shopping",145.01882,-37.96211
"OSM_shopping",144.96367,-37.76148
"OSM_shopping",144.96305,-37.76449
"OSM_shopping",144.52377,-38.26806
"OSM_shopping",144.52327,-38.26803
"OSM_shopping",145.00446,-37.9516
"OSM_shopping",145.09027,-37.90034
"OSM_shopping",145.01609,-37.97504
"OSM_shopping",145.00444,-37.95191
"OSM_shopping",145.00456,-37.95193
"OSM_shopping",145.26941,-37.60312
"OSM_shopping",144.96212,-37.77348
"OSM_shopping",144.35651,-38.07518
"OSM_shopping",145.10256,-37.59416
"OSM_shopping",145.09332,-37.86437
"OSM_shopping",144.98359,-37.80199
"OSM_shopping",144.72926,-37.58016
"OSM_shopping",144.99941,-37.76924
"OSM_shopping",145.0348,-37.98598
"OSM_shopping",145.03475,-37.98612
"OSM_shopping",144.91629,-37.70568
"OSM_shopping",145.0932,-37.83559
"OSM_shopping",145.11154,-37.83731
"OSM_shopping",145.24152,-37.86844
"OSM_shopping",145.24155,-37.86836
"OSM_shopping",145.24099,-37.86956
"OSM_shopping",145.24133,-37.86841
"OSM_shopping",145.24146,-37.86852
"OSM_shopping",145.00099,-37.76877
"OSM_shopping",145.34286,-37.81042
"OSM_shopping",145.06126,-37.93566
"OSM_shopping",145.01002,-37.84143
"OSM_shopping",145.04254,-37.7497
"OSM_shopping",145.04235,-37.74894
"OSM_shopping",145.28042,-37.798
"OSM_shopping",145.03468,-37.98642
"OSM_shopping",145.34599,-38.03088
"OSM_shopping",145.3455,-38.03083
"OSM_shopping",145.34695,-38.031
"OSM_shopping",145.30314,-38.01834
"OSM_shopping",145.0355,-37.82104
"OSM_shopping",145.03553,-37.82086
"OSM_shopping",145.36898,-38.04477
"OSM_shopping",145.34106,-37.53158
"OSM_shopping",145.15275,-37.95093
"OSM_shopping",144.99015,-37.87143
"OSM_shopping",145.15025,-37.78798
"OSM_shopping",145.14954,-37.78789
"OSM_shopping",144.35648,-38.07529
"OSM_shopping",144.3564,-38.07555
"OSM_shopping",144.3568,-38.07416
"OSM_shopping",145.31698,-37.98084
"OSM_shopping",145.1196,-37.7093
"OSM_shopping",145.49273,-37.93605
"OSM_shopping",145.04889,-37.72094
"OSM_shopping",145.03247,-37.71506
"OSM_shopping",144.95995,-37.72033
"OSM_shopping",144.83468,-37.71894
"OSM_shopping",144.83494,-37.71909
"OSM_shopping",144.83468,-37.71896
"OSM_shopping",145.0652,-37.74312
"OSM_shopping",145.15781,-38.19515
"OSM_shopping",144.14202,-37.34373
"OSM_shopping",145.28585,-37.86117
"OSM_shopping",145.01638,-37.97364
"OSM_shopping",144.94649,-37.73917
"OSM_shopping",144.93603,-37.74744
"OSM_shopping",145.19302,-37.63969
"OSM_shopping",145.19355,-37.63895
"OSM_shopping",145.14551,-38.14783
"OSM_shopping",144.98992,-37.87327
"OSM_shopping",144.99168,-37.86841
"OSM_shopping",145.25617,-38.05151
"OSM_shopping",144.33805,-38.20637
"OSM_shopping",144.31873,-38.19857
"OSM_shopping",145.08314,-37.92207
"OSM_shopping",144.99289,-37.91339
"OSM_shopping",145.20939,-38.01365
"OSM_shopping",145.10576,-37.99584
"OSM_shopping",145.07586,-37.99314
"OSM_shopping",145.07831,-37.94952
"OSM_shopping",144.33166,-38.12997
"OSM_shopping",144.71777,-38.17125
"OSM_shopping",144.94565,-37.83468
"OSM_shopping",144.96031,-37.79718
"OSM_shopping",144.96179,-37.76775
"OSM_shopping",145.12561,-38.37309
"OSM_shopping",145.12449,-38.3732
"OSM_shopping",145.17821,-38.33658
"OSM_shopping",145.17746,-38.33632
"OSM_shopping",145.34472,-38.03137
"OSM_shopping",145.34596,-38.03152
"OSM_shopping",145.34636,-38.03098
"OSM_shopping",145.23305,-38.20182
"OSM_shopping",144.78978,-37.75824
"OSM_shopping",144.97432,-37.4708
"OSM_shopping",144.96614,-37.80424
"OSM_shopping",145.07714,-37.86298
"OSM_shopping",145.22746,-37.82923
"OSM_shopping",144.86107,-37.7934
"OSM_shopping",145.1648,-37.83609
"OSM_shopping",145.0794,-37.86351
"OSM_shopping",145.07866,-37.86318
"OSM_shopping",145.07748,-37.86302
"OSM_shopping",145.08003,-37.86358
"OSM_shopping",145.08011,-37.86358
"OSM_shopping",145.11747,-38.02241
"OSM_shopping",144.96066,-37.83262
