"FTYPE","long","lat","categorization"
"OSM_shopping",144.98596,-37.81631,"FOI_highstreet"
"OSM_shopping",145.18496,-37.83661,"FOI_highstreet"
"OSM_shopping",144.98346,-37.80268,"FOI_highstreet"
"OSM_shopping",144.97553,-37.80782,"FOI_highstreet"
"OSM_shopping",144.99552,-37.82529,"FOI_highstreet"
"OSM_shopping",145.01157,-37.81354,"FOI_highstreet"
"OSM_shopping",145.05006,-37.20242,"FOI_highstreet"
"OSM_shopping",144.9603,-37.79726,"FOI_highstreet"
"OSM_shopping",145.03041,-37.80709,"FOI_highstreet"
"OSM_shopping",145.03071,-37.78102,"FOI_highstreet"
"OSM_shopping",145.04212,-37.76882,"FOI_highstreet"
"OSM_shopping",145.04446,-37.76738,"FOI_highstreet"
"OSM_shopping",145.02018,-37.6528,"FOI_highstreet"
"OSM_shopping",144.92959,-37.79449,"FOI_highstreet"
"OSM_shopping",145.16997,-37.7911,"FOI_highstreet"
"OSM_shopping",144.95775,-37.82427,"FOI_highstreet"
"OSM_shopping",144.32323,-38.33183,"FOI_highstreet"
"OSM_shopping",145.93136,-38.16175,"FOI_highstreet"
"OSM_shopping",145.93197,-38.16131,"FOI_highstreet"
"OSM_shopping",145.85706,-38.13659,"FOI_highstreet"
"OSM_shopping",144.98154,-37.83415,"FOI_highstreet"
"OSM_shopping",144.99702,-37.83926,"FOI_highstreet"
"OSM_shopping",144.99574,-37.83963,"FOI_highstreet"
"OSM_shopping",144.99605,-37.83856,"FOI_highstreet"
"OSM_shopping",144.99015,-37.83892,"FOI_highstreet"
"OSM_shopping",144.99049,-37.83896,"FOI_highstreet"
"OSM_shopping",144.98032,-37.85085,"FOI_highstreet"
"OSM_shopping",145.01013,-37.84135,"FOI_highstreet"
"OSM_shopping",144.96013,-37.83245,"FOI_highstreet"
"OSM_shopping",144.95919,-37.83066,"FOI_highstreet"
"OSM_shopping",144.97734,-37.86009,"FOI_highstreet"
"OSM_shopping",144.9787,-37.41206,"FOI_highstreet"
"OSM_shopping",145.07032,-37.6824,"FOI_highstreet"
"OSM_shopping",145.00557,-37.84821,"FOI_highstreet"
"OSM_shopping",144.99049,-37.78849,"FOI_highstreet"
"OSM_shopping",144.99261,-37.8553,"FOI_highstreet"
"OSM_shopping",145.07389,-37.96779,"FOI_highstreet"
"OSM_shopping",144.98385,-37.80234,"FOI_highstreet"
"OSM_shopping",145.08613,-37.90982,"FOI_highstreet"
"OSM_shopping",145.14273,-37.8917,"FOI_highstreet"
"OSM_shopping",144.96289,-37.81462,"FOI_highstreet"
"OSM_shopping",144.96525,-37.81786,"FOI_highstreet"
"OSM_shopping",144.96446,-37.81637,"FOI_highstreet"
"OSM_shopping",144.96463,-37.81623,"FOI_highstreet"
"OSM_shopping",144.96562,-37.81601,"FOI_highstreet"
"OSM_shopping",144.96461,-37.81675,"FOI_highstreet"
"OSM_shopping",144.96571,-37.81247,"FOI_highstreet"
"OSM_shopping",144.96726,-37.81234,"FOI_highstreet"
"OSM_shopping",144.96567,-37.81294,"FOI_highstreet"
"OSM_shopping",144.95879,-37.81746,"FOI_highstreet"
"OSM_shopping",144.97044,-37.81236,"FOI_highstreet"
"OSM_shopping",145.23026,-37.81235,"FOI_highstreet"
"OSM_shopping",144.96366,-37.81485,"FOI_highstreet"
"OSM_shopping",145.03568,-37.81976,"FOI_highstreet"
"OSM_shopping",145.02169,-37.81472,"FOI_highstreet"
"OSM_shopping",144.97192,-37.80963,"FOI_highstreet"
"OSM_shopping",144.96538,-37.81239,"FOI_highstreet"
"OSM_shopping",144.96638,-37.81126,"FOI_highstreet"
"OSM_shopping",145.35512,-37.9087,"FOI_highstreet"
"OSM_shopping",144.96522,-37.81311,"FOI_highstreet"
"OSM_shopping",144.96385,-37.81639,"FOI_highstreet"
"OSM_shopping",145.14395,-37.89099,"FOI_highstreet"
"OSM_shopping",145.14441,-37.89062,"FOI_highstreet"
"OSM_shopping",144.9637,-37.81614,"FOI_highstreet"
"OSM_shopping",144.96101,-37.81504,"FOI_highstreet"
"OSM_shopping",144.96229,-37.81429,"FOI_highstreet"
"OSM_shopping",144.96288,-37.81414,"FOI_highstreet"
"OSM_shopping",145.18955,-37.91106,"FOI_highstreet"
"OSM_shopping",145.28599,-37.86193,"FOI_highstreet"
"OSM_shopping",144.95982,-37.81253,"FOI_highstreet"
"OSM_shopping",144.94245,-37.83826,"FOI_highstreet"
"OSM_shopping",145.26604,-37.84116,"FOI_highstreet"
"OSM_shopping",145.26629,-37.84106,"FOI_highstreet"
"OSM_shopping",144.96868,-37.81279,"FOI_highstreet"
"OSM_shopping",144.95863,-37.81711,"FOI_highstreet"
"OSM_shopping",145.18285,-37.85565,"FOI_highstreet"
"OSM_shopping",145.2403,-37.86046,"FOI_highstreet"
"OSM_shopping",145.24051,-37.86003,"FOI_highstreet"
"OSM_shopping",144.97722,-37.79593,"FOI_highstreet"
"OSM_shopping",144.40809,-38.02327,"FOI_highstreet"
"OSM_shopping",144.40772,-38.02253,"FOI_highstreet"
"OSM_shopping",144.32404,-38.1723,"FOI_highstreet"
"OSM_shopping",144.95729,-37.81426,"FOI_highstreet"
"OSM_shopping",144.9559,-37.81611,"FOI_highstreet"
"OSM_shopping",144.95654,-37.81259,"FOI_highstreet"
"OSM_shopping",144.32393,-38.17252,"FOI_highstreet"
"OSM_shopping",144.32413,-38.17198,"FOI_highstreet"
"OSM_shopping",145.44126,-37.93185,"FOI_highstreet"
"OSM_shopping",144.95881,-37.81647,"FOI_highstreet"
"OSM_shopping",144.95603,-37.81754,"FOI_highstreet"
"OSM_shopping",145.04388,-37.82971,"FOI_highstreet"
"OSM_shopping",145.04283,-37.83009,"FOI_highstreet"
"OSM_shopping",145.03398,-37.82913,"FOI_highstreet"
"OSM_shopping",145.85816,-38.13689,"FOI_highstreet"
"OSM_shopping",145.1655,-38.15366,"FOI_highstreet"
"OSM_shopping",145.16433,-38.15319,"FOI_highstreet"
"OSM_shopping",145.1261,-38.10328,"FOI_highstreet"
"OSM_shopping",144.74054,-38.33888,"FOI_highstreet"
"OSM_shopping",145.37371,-37.65979,"FOI_highstreet"
"OSM_shopping",145.37458,-37.65904,"FOI_highstreet"
"OSM_shopping",145.12501,-37.78596,"FOI_highstreet"
"OSM_shopping",144.96642,-37.81571,"FOI_highstreet"
"OSM_shopping",144.97139,-37.81334,"FOI_highstreet"
"OSM_shopping",144.96993,-37.8128,"FOI_highstreet"
"OSM_shopping",145.35371,-37.90987,"FOI_highstreet"
"OSM_shopping",145.16959,-37.79201,"FOI_highstreet"
"OSM_shopping",145.17012,-37.79039,"FOI_highstreet"
"OSM_shopping",145.14847,-37.87358,"FOI_highstreet"
"OSM_shopping",144.9644,-37.75486,"FOI_highstreet"
"OSM_shopping",145.00156,-37.81081,"FOI_highstreet"
"OSM_shopping",144.86328,-37.79997,"FOI_highstreet"
"OSM_shopping",145.38183,-38.21429,"FOI_highstreet"
"OSM_shopping",145.00066,-37.88383,"FOI_highstreet"
"OSM_shopping",145.01005,-37.86347,"FOI_highstreet"
"OSM_shopping",145.51767,-37.65352,"FOI_highstreet"
"OSM_shopping",145.03116,-37.73953,"FOI_highstreet"
"OSM_shopping",145.27758,-37.88339,"FOI_highstreet"
"OSM_shopping",144.97029,-37.8142,"FOI_highstreet"
"OSM_shopping",144.97136,-37.81431,"FOI_highstreet"
"OSM_shopping",144.97303,-37.81399,"FOI_highstreet"
"OSM_shopping",145.08477,-37.88564,"FOI_highstreet"
"OSM_shopping",145.47662,-38.5497,"FOI_highstreet"
